"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Cayman Islands","CYM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","4.33502","3.8197","3.38549","3.31234","3.35313","3.42601","3.79132","3.73178","","3.60191","3.58696","3.48897","3.44871","3.37547","3.37627","3.33924","3.57539","3.7803","4.09555","4.15997","3.74813","","","","4.79691","5.01779","5.14965","5.6183","6.71737","6.17329","6.34274","6.39555","6.34744","6.80899","7.30415","6.66191","6.64467","","","","",
"Czech Republic","CZE","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79021","4.20129","4.6976","4.56385","4.28387","","3.60358","3.69324","3.6613","3.75679","3.98297","4.15004","4.02052","3.89869","4.22392","3.875","3.75273","4.18041","4.07352","4.28418","4.26371","","","",
"Germany","DEU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.41382","4.33488","4.4227","4.48694","","4.46003","","","","","","","","4.28476","4.34842","4.41596","4.88767","4.921","4.81496","4.94831","","","",
"Djibouti","DJI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.62948","9.66","7.80543","8.4476","8.88985","9.26467","8.36589","8.27878","8.40625","","","4.49022","","","","","",
"Dominica","DMA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.17833","","","","","","","","","7.16059","4.99184","","","","","","","","","","","","","","","","",
"Denmark","DNK","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","6.02943","6.48275","6.55638","6.32187","6.63196","6.75038","","5.68559","5.76126","5.59097","5.93262","","","","","","5.85677","6.0928","6.3596","5.8654","","5.60722","","7.78547","7.47189","7.47103","7.88494","","8.10674","7.93116","8.08433","8.21545","8.21303","8.12194","8.21188","8.08275","7.72783","7.61377","7.49236","8.48796","8.61798","8.5471","","","","",
"Dominican Republic","DOM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","2.64097","","","","","","","","","","","","1.59754","1.56546","1.49779","1.21019","","","","","","","","0.78019","0.90279","1.04848","1.23468","","","","1.91261","2.0237","1.97101","1.87636","","","","2.05124","","","","","","","","",
"Algeria","DZA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","7.18201","6.59742","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33702","","","","","","","",
"East Asia & Pacific (developing only)","EAP","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (developing only)","ECA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (all income levels)","ECS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","2.00283","1.8794","","","","","","2.41884","","","","","","","4.20342","5.23335","6.87238","","","","","","","","","1.99764","","","2.19537","1.54734","1.15093","","","","","","","","","","4.07574","4.31455","4.18002","","","",
"Egypt, Arab Rep.","EGY","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","4.74202","4.72636","","5.48853","5.00846","5.02737","4.53443","4.86171","","4.2498","","5.30415","5.64235","","","","","4.51937","4.59159","","","4.09639","4.1977","4.58376","4.604","4.67157","","","","","","","4.94563","4.67072","4.79443","4.00178","3.68461","3.76083","","","","","","","",
